Symbol,P/E FWD,EPS FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
CAT,16.64,16.87%,5.05897,5.17,Industrials,3.13,3.61%,364.2,1.75639E+11,482802496,37901001000,1.03%,22.30%,10/30/2024,-0.08%,0.11%,2/5/2025,C
CVX,14.18,-16.36%,2.40156,2.51,Energy,3.31,6.83%,147.26,2.657E+11,1797091330,25841000400,-3.85%,-32.62%,11/1/2024,2.58%,-0.40%,2/7/2025,C+
V,28.09,13.03%,2.65947,2.71,Financials,3.45,9.35%,313.04,6.17549E+11,1961033980,21803999200,11.62%,17.45%,10/29/2024,-0.68%,-0.59%,1/28/2025,B-
META,26.72,43.48%,6.73977,6.03,Communication Services,3.49,18.62%,630.2,1.52638E+12,2524488450,49046999000,14.27%,87.26%,10/30/2024,1.24%,4.23%,1/31/2025,A
HON,23.34,7.95%,2.29931,2.58,Industrials,3.77,0.49%,221.74,1.47294E+11,650247360,31974000600,8.09%,7.36%,10/24/2024,-0.52%,-2.11%,2/6/2025,C-
UNH,18.57,10.43%,6.74645,7.15,Health Care,3.31,10.45%,513.67,4.72106E+11,920284350,78009999000,-4.91%,-33.21%,10/15/2024,1.50%,0.13%,1/16/2025,D+
GS,15.71,12.54%,8.21333,9.02,Financials,3.37,7.93%,583.39,1.90989E+11,329216736,7.41734E+11,17.60%,64.86%,10/15/2024,1.20%,0.56%,1/15/2025,B
HD,25.75,-1.93%,3.01306,3.78,Consumer Discretionary,3.47,6.86%,389.37,3.86597E+11,993362620,64132002000,4.53%,-5.56%,11/12/2024,-0.47%,0.05%,2/25/2025,A-
WMT,36.61,9.54%,0.64055,0.58,Consumer Staples,3.48,5.28%,91.43,7.29271E+11,8033386000,63578001000,22.45%,20.47%,11/19/2024,-0.77%,0.72%,2/20/2025,A-
GOOG,24.21,25.34%,2.1167,2.12,Communication Services,3.49,16.99%,197.96,2.35512E+12,12241000400,29289001000,12.66%,44.62%,10/29/2024,-0.15%,2.50%,1/30/2025,A-
AMZN,43.71,NM,1.47746,1.43,Consumer Discretionary,3.49,18.49%,227.61,2.35736E+12,10515010600,1.58535E+11,17.87%,143.63%,10/31/2024,0.16%,1.53%,1/31/2025,A-
NFLX,44.43,33.84%,4.21864,5.4,Communication Services,3.48,14.77%,881.79,3.76612E+11,427458112,18508648400,25.02%,76.17%,10/17/2024,-2.60%,0.08%,1/21/2025,A-
TSLA,165.35,-7.17%,0.76311,0.72,Consumer Discretionary,3.49,31.81%,411.05,1.31754E+12,3210059780,12782999600,70.26%,17.67%,10/23/2024,-3.35%,0.15%,1/29/2025,A-
FDX,14.21,14.97%,4.75156,4.05,Industrials,3.89,4.78%,273.97,66091815000,240850608,37274001000,-1.01%,-7.08%,12/19/2024,-0.65%,-0.16%,3/20/2025,C
MA,36.00,15.30%,3.69436,3.89,Financials,3.46,10.84%,511.93,4.7852E+11,917831040,18357999600,8.61%,15.35%,10/31/2024,-1.26%,-1.81%,1/31/2025,B
ILMN,33.01,27.88%,0.91356,1.14,Health Care,3.42,4.89%,138.65,21571186700,158600000,2673999870,6.75%,NM,11/4/2024,1.15%,1.94%,2/7/2025,A
TSM,29.59,11.32%,2.23301,1.94,Information Technology,4.97,20.53%,220.01,8.4624E+11,25932732400,32290994200,21.90%,15.83%,10/17/2024,3.36%,5.46%,1/10/2025,A-
CF,14.31,-29.31%,1.60914,1.5549,Materials,3.25,5.07%,89.76,15402504200,174019936,3249999870,9.69%,-41.69%,10/30/2024,3.81%,1.41%,2/14/2025,A-
TMO,24.52,0.26%,5.95178,5.28,Health Care,3.16,10.93%,537.19,2.03498E+11,382500256,35513000000,-6.88%,4.56%,10/23/2024,1.49%,0.97%,1/30/2025,C-
JNJ,14.47,1.58%,2.04298,2.42,Health Care,3.28,1.43%,143.66,3.47155E+11,2407622910,35750998000,-6.57%,28.23%,10/15/2024,-0.28%,-0.37%,1/22/2025,D+
XOM,13.64,-17.07%,1.75436,1.92,Energy,3.41,5.61%,107.74,4.74055E+11,4395094500,42550002000,-7.13%,-20.33%,11/1/2024,1.22%,-0.11%,1/30/2025,B-
BA,NM,NM,-1.81457,-10.44,Industrials,2.97,-3.37%,170.78,1.27115E+11,748176000,57650000000,0.19%,NM,10/23/2024,-3.89%,0.52%,1/22/2025,D
PG,23.78,7.90%,1.87976,1.93,Consumer Staples,3.28,4.05%,160.6,3.88888E+11,2355041790,36153000000,-1.49%,-5.75%,10/18/2024,-1.70%,-2.74%,1/22/2025,C-
DOW,19.39,-23.16%,0.29391,0.47,Materials,2.75,-0.69%,39.75,27678173200,702491710,17909999600,-24.57%,-18.08%,10/24/2024,-0.97%,0.89%,1/30/2025,D+
VZ,8.76,-3.00%,1.10296,1.19,Communication Services,3.42,0.43%,39.61,1.6948E+11,4209626370,1.78356E+11,-2.72%,-53.44%,10/22/2024,0.76%,-1.61%,1/24/2025,B-
DUK,18.13,6.37%,1.6804,1.62,Utilities,3.15,3.80%,106.37,83258155000,772482430,85023998000,0.00%,16.83%,11/7/2024,-0.26%,-1.31%,2/7/2025,C-
ABBV,16.57,-4.02%,2.97755,3,Health Care,3.43,11.06%,180.1,3.20241E+11,1767140350,71323001000,1.35%,-21.44%,10/30/2024,1.97%,-0.62%,1/31/2025,B+
PM,18.76,6.04%,1.51219,1.91,Consumer Staples,4.76,4.69%,121,1.89721E+11,1554833410,49271001000,8.20%,22.34%,10/22/2024,0.04%,-0.84%,2/7/2025,A-
GEO,34.58,9.12%,0.214,0.21,Industrials,3.28,-0.26%,29.08,3988548860,136081504,1794624000,74.46%,-66.97%,11/7/2024,4.41%,-0.78%,2/14/2025,C-
BAC,13.89,4.61%,0.7726,0.81,Financials,3.35,1.94%,45.4,3.43822E+11,7672879600,7.99686E+11,10.03%,-23.10%,10/15/2024,1.46%,1.32%,1/16/2025,C+
MMM,17.81,-7.85%,1.54529,1.98,Industrials,3.23,0.41%,130.29,70721823000,544558590,13868000300,11.14%,NM,10/22/2024,0.29%,0.32%,1/24/2025,B
