Symbol,P/E FWD,EPS FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
JD,8.96,19.27%,0.74623046,1.200769156,Consumer Discretionary,4.73,15.62%,35.14,51225330000,1449500030,12539614200,11.43%,49.27%,11/14/2024,-0.14%,-0.57%,3/7/2025,B+
AA,35.34,-7.10%,1.0278,0.57,Materials,3.21,-0.60%,36.49,9226068000,258360912,2944999940,-5.73%,NM,10/16/2024,-5.10%,2.18%,1/22/2025,A-
ALL,11.69,NM,5.78508,3.91,Financials,4.94,7.90%,185.91,50696622000,264803456,8092000300,6.80%,NM,10/30/2024,-0.84%,-2.89%,2/6/2025,B+
APO,23.72,17.89%,1.9364,1.85,Financials,3.42,77.12%,169.1,95656927000,565816450,29053999100,31.04%,94.60%,11/5/2024,-0.46%,0.02%,2/4/2025,B-
BKR,18.60,41.70%,0.62833,0.67,Energy,4.54,2.82%,42.83,42213171000,989525820,6035999700,18.27%,33.57%,10/22/2024,4.32%,0.40%,1/30/2025,A
BTU,7.24,-31.66%,0.37,0.77173,Energy,2.87,-2.37%,19.5,2457945090,121500000,433100000,-13.97%,-50.21%,10/31/2024,-1.37%,-3.61%,2/7/2025,B-
CENX,16.63,103.00%,0.46,0.63,Materials,4.70,2.17%,18.68,1604492030,92798848,485900000,0.77%,NM,11/4/2024,-5.69%,8.04%,2/20/2025,A
DHR,31.31,-8.61%,2.14816,1.71,Health Care,3.00,8.82%,238.2,1.69619E+11,722275140,18823999500,-7.55%,-10.91%,10/22/2024,2.07%,1.43%,1/29/2025,D
EGO,10.73,233.06%,0.48279,0.35,Materials,4.12,18.13%,15.27,3169588990,204146672,865462980,-3.39%,109.23%,10/31/2024,2.69%,-1.67%,2/20/2025,A-
EPD,11.84,4.66%,0.71788,0.6586,Energy,3.87,10.77%,31.93,68993909000,2167575040,32349999100,7.75%,8.79%,10/29/2024,1.90%,0.31%,1/31/2025,C+
ET,14.81,4.38%,0.37492,0.32,Energy,4.51,9.12%,19.62,67245720000,3423916540,60065001000,18.97%,28.29%,11/6/2024,1.86%,-0.10%,2/14/2025,B
EWBC,11.44,3.28%,2.11171,2.09,Financials,4.70,10.43%,96.94,13237696500,138629136,3996919040,13.59%,-10.68%,10/22/2024,-0.49%,1.52%,1/23/2025,A+
GLDD,15.09,NM,0.22667,0.13,Industrials,3.08,0.58%,11.62,791792260,67272064,482164992,18.90%,NM,11/5/2024,1.87%,-1.27%,2/14/2025,D
IAG,9.55,163.50%,0.13635,0.18,Materials,4.86,6.90%,5.39,3147343620,571215170,941600000,21.06%,618.94%,11/7/2024,5.37%,-2.18%,2/19/2025,A-
KGC,13.43,61.68%,0.24411,0.24,Materials,4.73,8.08%,9.69,12021050400,1229048190,1704700030,13.63%,226.63%,11/5/2024,4.19%,-0.92%,2/14/2025,A
KMI,24.11,2.87%,0.32703,0.25,Energy,3.21,2.13%,27.83,62805766000,2221640190,32201001000,28.47%,3.81%,10/16/2024,3.54%,-1.56%,1/15/2025,C+
MCHP,35.75,-25.62%,0.29053,0.46,Information Technology,1.90,0.49%,58.29,30969380900,537010240,6457600000,-28.72%,-68.50%,11/5/2024,0.51%,1.08%,2/6/2025,D-
MCY,13.02,NM,0.64,2.54,Financials,4.85,7.55%,64.98,3640097790,55371128,588083010,7.82%,NM,10/29/2024,-2.37%,-1.16%,2/11/2025,A+
MFC,11.64,6.88%,0.673665898,0.717437314,Financials,4.88,-16.75%,30.81,53392814000,1741196290,16225569800,11.34%,28.88%,11/6/2024,0.30%,0.46%,2/19/2025,B+
MPLX,11.78,4.90%,1.03222,1.01,Energy,4.02,4.89%,48.52,49432764000,1018812100,22577999900,11.67%,21.97%,11/5/2024,1.58%,0.00%,2/4/2025,B+
NEM,12.30,26.98%,0.95894,0.81,Materials,3.73,14.00%,37.79,43196387000,1133465980,9098999800,-15.23%,NM,10/23/2024,0.71%,-0.84%,2/20/2025,B+
NGD,12.86,NM,0.06951,0.08,Materials,4.11,5.83%,2.54,2058452100,790899970,449900000,9.92%,NM,10/29/2024,2.78%,-1.93%,2/13/2025,A-
PAAS,24.49,170.65%,0.41068,0.32,Materials,4.76,19.01%,20.85,7603273700,364440000,839200000,0.09%,NM,11/5/2024,1.02%,0.05%,2/21/2025,A
PBI,19.29,72.61%,0.14,0.21,Industrials,3.01,-0.04%,7.53,1331867010,181700816,2255793920,17.02%,NM,11/7/2024,0.88%,2.73%,1/31/2025,F
SCCO,20.71,13.23%,1.10598,1.14291,Materials,2.86,8.96%,93.56,72725676000,790410500,6982400000,-13.89%,5.80%,10/21/2024,-0.80%,1.68%,1/31/2025,B-
SKYW,14.41,79.78%,1.81667,2.16,Industrials,4.91,1.93%,107.51,4183203840,40327812,2778639870,22.45%,NM,10/31/2024,1.66%,3.64%,2/6/2025,A
SLB,11.40,17.39%,0.90446,0.89,Energy,2.93,1.83%,38.76,54495035000,1412154240,12986999800,-14.58%,8.00%,10/18/2024,2.25%,0.44%,1/17/2025,C-
SNAP,45.49,NM,0.14086,0.08,Communication Services,3.33,27.31%,12.57,20076159000,1677206270,4240550910,-2.60%,NM,10/29/2024,6.71%,5.01%,2/3/2025,B+
SO,20.36,6.22%,0.53461,1.43,Utilities,4.10,3.89%,80.96,90196722000,1095684220,65081999000,-0.29%,55.58%,10/31/2024,-0.33%,-1.65%,2/13/2025,B+
SVM,9.30,47.49%,0.1,0.09,Materials,4.13,6.92%,3.05,665635780,217562000,1250000,-17.68%,63.39%,11/7/2024,1.72%,-0.65%,2/6/2025,A
TGB,13.64,189.67%,0.031578947,0.021642992,Materials,2.64,11.21%,2.05,602861760,304523200,550934460,-13.36%,207.78%,11/6/2024,1.52%,2.50%,2/21/2025,D-
TRGP,28.65,27.11%,1.85446,1.9231,Energy,3.46,13.02%,186.16,40596865000,218063408,14335599600,28.38%,44.82%,11/5/2024,4.05%,-0.01%,2/18/2025,A+
TS,10.88,-6.84%,0.683,0.81,Energy,3.89,11.32%,38.03,20367489000,1084775680,652137980,12.66%,-24.12%,11/6/2024,0.48%,0.72%,2/19/2025,B+
VEON,7.67,-,0.92,1.393,Communication Services,3.24,-14.89%,45.68,3145604610,70735432,4333000200,55.64%,-12.50%,11/14/2024,12.42%,2.72%,3/20/2025,D-
VIRT,11.21,1.83%,0.77721,0.82,Financials,4.49,8.28%,36.36,5532325900,85953824,5434887200,26.82%,23.01%,10/24/2024,-0.29%,1.62%,1/24/2025,B
VIST,9.80,28.72%,1.204767117,0.55385888,Energy,4.77,28.52%,54.49,5123861000,95195888,1020478020,14.06%,44.42%,10/23/2024,0.00%,0.59%,2/20/2025,A+
WBS,10.63,0.85%,1.34602,1.34,Financials,3.09,14.44%,55.96,9509847000,171410368,4352032800,14.16%,-15.54%,10/17/2024,0.63%,0.87%,1/23/2025,C+
WES,10.48,5.32%,0.84017,0.75,Energy,3.53,5.42%,39.65,14932995100,380555424,7937229800,2.80%,44.12%,11/6/2024,0.80%,1.04%,2/21/2025,C-
ZIM,1.37,-57.45%,3.1853,9.3429,Industrials,4.92,17.56%,21.45,2707552260,120389160,5844100100,18.83%,NM,11/20/2024,6.60%,-4.62%,3/14/2025,A+
MCD,24.97,7.69%,2.89808,3.23,Consumer Discretionary,3.23,4.22%,292.18,2.11245E+11,716619710,53449998000,5.28%,0.40%,10/29/2024,0.83%,-0.88%,2/3/2025,C+
AMGN,13.33,5.30%,5.05722,5.58,Health Care,3.22,6.82%,258.59,1.40414E+11,537532740,60397998000,-14.23%,-44.29%,10/30/2024,-0.27%,-1.01%,2/4/2025,B-
JPM,13.20,12.25%,3.98385,4.37,Financials,3.44,8.60%,240.85,6.84916E+11,2815340540,9.29197E+11,14.30%,7.21%,10/11/2024,1.46%,-0.49%,1/15/2025,B+
BLK,23.63,11.05%,11.41517,11.46,Financials,3.42,6.71%,1012.74,1.58105E+11,154878928,14179000300,15.14%,13.64%,10/11/2024,-1.17%,-0.79%,1/15/2025,B
ISRG,78.09,18.82%,1.75092,1.84,Health Care,3.42,13.12%,542.37,1.90661E+11,356179456,0,16.31%,46.29%,10/17/2024,1.10%,1.32%,1/21/2025,B+
GNRC,22.64,-0.04%,2.52346,2.25,Industrials,4.59,13.64%,160.06,9452924900,59497260,1578521980,4.48%,89.80%,10/31/2024,1.93%,0.74%,2/12/2025,A-
MNST,31.73,18.94%,0.40397,0.4,Consumer Staples,2.95,12.53%,51.87,50950304000,972519680,808272000,0.52%,5.30%,11/7/2024,0.36%,-0.99%,2/24/2025,C-
MTH,7.13,-7.27%,2.21569,2.67,Consumer Discretionary,3.90,12.70%,75.15,5479039000,72359200,1371539970,-15.50%,2.15%,10/29/2024,-1.54%,-0.75%,1/29/2025,B+
ABT,24.34,-1.17%,1.34224,1.21,Health Care,3.32,5.62%,113.04,1.97433E+11,1734455170,15045999600,2.99%,12.04%,10/16/2024,-0.08%,-0.69%,1/22/2025,B
IBM,21.80,5.60%,3.79199,2.3,Information Technology,3.31,-4.10%,222.67,2.05872E+11,924645120,60125999000,12.66%,-10.79%,10/23/2024,0.11%,0.01%,1/29/2025,C+
TXN,36.88,-14.86%,1.23592,1.44,Information Technology,3.10,1.27%,192.18,1.73786E+11,912216640,14574000100,-1.98%,-30.29%,10/22/2024,0.81%,0.88%,1/17/2025,C-
NEE,21.04,8.25%,0.52592,1.03,Utilities,4.16,6.67%,71.24,1.48041E+11,2056404480,82767004000,-4.12%,-10.94%,10/23/2024,0.21%,-1.04%,1/24/2025,B+
AXP,22.29,15.38%,3.00825,3.49,Financials,3.47,8.63%,301.88,2.13503E+11,704444860,55496999000,18.61%,27.35%,10/18/2024,1.21%,-0.40%,1/24/2025,B
LMT,18.04,9.06%,6.54463,6.84,Industrials,3.30,4.09%,466,1.14208E+11,237035280,19320999900,-5.95%,0.98%,10/22/2024,-0.77%,-3.28%,1/28/2025,B+
GE,39.90,26.25%,1.04608,1.15,Industrials,3.45,-6.03%,172.45,1.86111E+11,1082294020,21056000000,1.37%,-43.16%,10/22/2024,1.67%,0.28%,1/21/2025,A-
INTC,NM,-19.01%,0.12066,-0.46,Information Technology,2.81,-5.08%,19.87,88675279000,4312999900,50235998000,-24.48%,NM,10/31/2024,2.51%,-3.36%,1/23/2025,D
T,10.22,-5.31%,0.50749,0.6,Communication Services,3.47,-7.72%,22.6,1.62664E+11,7175289300,1.48003E+11,14.05%,NM,10/23/2024,-0.49%,-0.31%,1/27/2025,B+
KLAC,21.73,8.49%,7.75591,7.33,Information Technology,3.14,15.97%,690.3,87881515000,133759776,6826095100,-10.12%,-2.11%,10/30/2024,2.64%,5.07%,1/30/2025,B-
MSCI,40.09,14.19%,3.95806,3.86,Financials,3.24,13.12%,596.66,47138767000,78371296,4634177000,9.90%,27.08%,10/29/2024,-0.38%,-0.80%,1/28/2025,B-
NUE,14.00,-33.70%,0.63751,1.49,Materials,1.71,5.72%,120.62,27109150700,234812912,6939066900,-26.42%,-47.22%,10/21/2024,-0.89%,4.48%,1/27/2025,D+
