Symbol,P/E FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
EXEL,-,0.54085,0.62,Health Care,4.78,18.61%,43.07,11560104000,272708300,187125000,27.12%,237.58%,5/13/2025,-1.02%,1.60%,8/5/2025,B+
EXPE,11.2,3.98322,0.47,Consumer Discretionary,3.03,3.40%,164.65,20209680000,127120900,6467000000,-4.05%,54.83%,5/8/2025,-3.40%,3.57%,8/7/2025,B-
F,9.36,0.31679,0.14,Consumer Discretionary,3.3,4.06%,10.3,41197048000,3976548900,1.58E+11,0.82%,28.89%,5/5/2025,-2.36%,-0.58%,7/25/2025,C
FAST,37.34,0.27905,0.26,Industrials,3.23,7.14%,41.62,46635356000,1147241200,495800000,7.55%,-0.99%,4/11/2025,-0.22%,2.39%,7/14/2025,B+
FCX,25.15,0.42141,0.24,Materials,3.78,13.14%,39.68,56040534000,1436200200,9404000000,-4.67%,7.02%,4/24/2025,1.07%,1.69%,-,C+
FDX,11.95,6.00868,4.51,Industrials,3.02,4.74%,220.05,51899523000,239598910,37031000000,-17.42%,-8.19%,3/20/2025,-3.99%,1.59%,6/24/2025,C-
FMS,8.99,0.510353365,-,Health Care,4.9,1.80%,29.51,17529983000,293413440,11729254000,27.43%,27.83%,5/6/2025,0.67%,1.69%,8/5/2025,A-
FSLR,10.28,2.78374,1.95,Information Technology,2.91,6.80%,156.35,16985381000,107244480,630392000,-12.42%,23.43%,4/29/2025,-7.69%,-1.28%,7/29/2025,D+
FTK,24,0.09,0.21282,Materials,4.99,16.16%,14.4,441602270,29677572,7993000,101.14%,683.07%,5/6/2025,0.23%,-3.23%,8/6/2025,A+
FTNT,41.45,0.59075,0.58,Information Technology,3.37,22.05%,104.94,78960360000,765416450,1076500000,12.04%,57.71%,5/7/2025,-0.49%,1.73%,8/7/2025,B+
GE,41.88,1.40215,1.49,Industrials,3.42,-15.57%,241.72,2.48E+11,1066386600,20714000000,24.07%,60.96%,4/22/2025,1.56%,3.84%,7/22/2025,A-
GEO,26.74,0.16,0.14,Industrials,3.06,-0.40%,27.46,3717797000,138568660,1777611000,13.76%,-66.15%,5/7/2025,0.22%,2.35%,8/6/2025,D+
GILD,13.45,1.95279,1.81,Health Care,4.59,4.81%,109.13,1.34E+11,1243929100,24952000000,13.45%,1118.07%,4/24/2025,2.89%,1.64%,8/1/2025,B-
GM,5.19,2.5302,2.78,Consumer Discretionary,3.3,6.89%,49.05,46812260000,961434750,1.34E+11,-1.12%,-14.33%,4/29/2025,-2.32%,0.74%,7/22/2025,C
GNRC,16.7,1.34669,1.26,Industrials,2.67,14.50%,126.97,7299537400,59081650,1420366000,-16.88%,58.27%,4/30/2025,-2.58%,2.77%,7/30/2025,C-
GOOG,17.69,2.17288,2.81,Communication Services,3.48,16.63%,173.6,2.05E+12,12134751000,28498000000,-1.76%,37.52%,4/24/2025,1.86%,2.36%,7/22/2025,A-
GOOGL,17.57,2.17288,2.81,Communication Services,3.49,16.63%,172.5,2.05E+12,12134751000,28498000000,-1.47%,37.52%,4/24/2025,1.98%,2.39%,7/22/2025,A-
GOOS,15.98,-0.6293,0.23653,Consumer Discretionary,3.86,7.07%,12.535,1163164000,96834460,518841900,18.61%,70.18%,5/21/2025,20.95%,6.50%,8/7/2025,B+
GS,13.35,9.87832,14.12,Financials,3.11,8.86%,616.18,1.75E+11,293049570,7.40E+11,7.53%,68.40%,4/14/2025,-1.08%,2.95%,7/16/2025,C-
HAS,15.76,0.77704,1.04,Consumer Discretionary,3.55,-3.49%,67.29,9224717000,140129380,3360300000,4.06%,NM,4/24/2025,-1.06%,2.22%,-,C+
HD,24.17,4.70221,3.56,Consumer Discretionary,3.24,7.77%,369.54,3.61E+11,993928200,61291000000,-6.27%,-1.28%,5/20/2025,-2.98%,1.88%,8/19/2025,C-
HON,21.41,2.63937,2.51,Industrials,3.24,1.56%,226.23,1.43E+11,642682900,33991000000,4.14%,0.81%,4/29/2025,0.13%,1.89%,7/31/2025,B
HSY,26.01,0.98117,2.09,Consumer Staples,2.79,6.08%,158.87,31474500000,202603790,6290816000,-11.27%,-19.58%,5/1/2025,-2.14%,2.27%,7/31/2025,C+
HUBS,65.75,2.12268,1.78,Information Technology,3.27,30.42%,618.495,32429384000,52737570,655149000,-1.45%,NM,5/8/2025,-5.16%,0.58%,8/6/2025,B+
IAG,8.72,0.16778,0.1,Materials,4.6,10.22%,7.12,3876537300,575050430,1148600000,17.36%,405.77%,5/6/2025,4.71%,5.79%,8/7/2025,B+
IBM,23.65,2.65767,1.6,Information Technology,3.44,-3.87%,263.29,2.35E+11,909396540,66835000000,12.37%,-33.61%,4/23/2025,-1.16%,1.80%,7/23/2025,B+
IDXX,41.23,3.26788,2.96,Health Care,3.36,9.86%,516.43,40337220000,80421920,1059359000,11.60%,4.80%,5/1/2025,-1.74%,2.96%,8/1/2025,A-
ILMN,19.01,1.00764,0.97,Health Care,2.59,4.05%,82.12,12722571000,158300000,2607000000,-31.40%,NM,5/8/2025,-1.03%,2.18%,8/7/2025,D
IMO,12.63,1.13714656,1.824976102,Energy,3.1,9.61%,72.485,36535587000,509044960,2953032200,1.91%,8.49%,5/2/2025,-0.78%,1.11%,-,B-
INGR,12.13,2.77175,2.97,Consumer Staples,4.69,3.44%,139.14,8790672000,64311010,1784000000,0.99%,-5.11%,5/6/2025,-1.18%,1.79%,7/29/2025,A+
